mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,1.161480,0.000324,0.000006,0.001703,1.482369,0.000777,2.646990
2,1,0.575511,0.008147,0.000783,0.001704,0.751124,0.000778,1.338384
1,4,1.151415,0.000330,0.000005,0.001704,1.501983,0.000779,2.656548
2,2,0.576197,0.006026,0.000782,0.001714,0.752866,0.000773,1.338656
4,1,0.303976,0.014383,0.000772,0.001799,0.393960,0.000818,0.716043
1,8,1.163129,0.000330,0.000008,0.001707,1.550724,0.000777,2.717010
2,4,0.577881,0.017446,0.000785,0.001707,0.745837,0.000778,1.346137
4,2,0.295257,0.018028,0.000737,0.001711,0.373991,0.000783,0.691676
8,1,0.159218,0.027534,0.000776,0.001911,0.207629,0.000859,0.398557
1,16,1.159446,0.000335,0.000007,0.001705,1.500700,0.000783,2.663315
2,8,0.582785,0.001633,0.000783,0.001709,0.746871,0.000771,1.334850
4,4,0.290069,0.013990,0.000732,0.001705,0.380991,0.000790,0.688592
8,2,0.160758,0.029540,0.000764,0.001891,0.207416,0.000853,0.401915
16,1,0.088997,0.022954,0.000840,0.002065,0.112386,0.000961,0.229139
1,32,1.162437,0.000330,0.000007,0.001705,1.523340,0.000777,2.688927
2,16,0.577026,0.005955,0.000787,0.001719,0.747668,0.000790,1.334918
4,8,0.298767,0.018749,0.000741,0.001754,0.387558,0.000798,0.709049
8,4,0.159090,0.027457,0.000780,0.001881,0.208885,0.000855,0.399768
16,2,0.089873,0.021681,0.000829,0.002064,0.113031,0.000942,0.229097
32,1,0.045934,0.166594,0.012218,0.002072,0.055851,0.000936,0.291253
1,64,1.156028,0.000291,0.000006,0.001711,1.503713,0.000784,2.662833
2,32,0.580738,0.002430,0.000774,0.001709,0.754209,0.000774,1.340927
4,16,0.290160,0.017279,0.000749,0.001703,0.386113,0.000775,0.697075
8,8,0.162019,0.022331,0.000778,0.001913,0.208329,0.000856,0.396790
16,4,0.089344,0.021153,0.000834,0.002070,0.113056,0.000942,0.228053
32,2,0.046098,0.183033,0.012255,0.002073,0.056081,0.000943,0.311042
64,1,0.023592,0.258171,0.017760,0.002069,0.028176,0.000945,0.336730
